Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;A turma se mostrou motivada para estudar a disciplina.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;A turma se empenhou em acompanhar as atividades da disciplina.;Você apresentou plano de ensino contendo: ementa, objetivos, metodologias de ensino, critérios de avaliação, conteúdos e bibliografia da disciplina.;Os conteúdos trabalhados na disciplina foram coerentes com os que foram apresentados no plano de ensino.;Você deu retorno sobre todas as avaliações realizadas: correções, discussão dos pontos principais, esclarecimentos sobre os erros cometidos.;Os recursos didáticos, audiovisuais, tecnológicos empregados pelo(a) docente contribuíram para que a aula fosse mais produtiva.;Você cumpriu a carga horária prevista no semestre para a disciplina.;O grau de dificuldade das avaliações foi compatível com as aulas ministradas.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de formação teórica/prática na área. ;A disciplina contribuiu para a aquisição de cultura geral.;Você dispôs de horário de atendimento extra-classe.; As notas de todas as avaliações parciais foram divulgadas no SIGA até 3 (três) dias antes da data da avaliação subsequente, conforme determina o RAG. ;Você manteve um comportamento respeitoso e cortês em relação aos discentes.
2019;3;DOCENTE_TURMA;DAF4160E106020D40059F7BC4FDD04C2;DEPARTAMENTO DE EDUCAÇÃO;323FA37D00CFF64241C3F3AB44BE1DAD;A;4;4;3;4;5;5;4;5;5;5;4;4;3;4;5
2019;3;DOCENTE_TURMA;495FA573022FB0D94839D02EE1045915;DEPARTAMENTO DE EDUCAÇÃO;87D98A327F43482B6890ED1D0BAC04A4;A;3;2;3;5;5;5;5;5;5;5;5;5;5;0;5
2019;3;DOCENTE_TURMA;495FA573022FB0D94839D02EE1045915;DEPARTAMENTO DE EDUCAÇÃO;B08F7AB3888EAC31EBF0E136A8A87627;A;3;3;4;5;5;5;5;5;5;5;5;5;5;0;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;C5919EE547FBA919E9B14E4EED4431D3;DEPTO DE ODONT SOCIAL E INFANTIL /ODON;F29FEE89C2C17192ED3DB3413D2CC99A;T;4;5;4;5;5;5;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;C5919EE547FBA919E9B14E4EED4431D3;DEPTO DE ODONT SOCIAL E INFANTIL /ODON;C182CD2F872B89E746DBAFDA6A1FC4DB;T;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;EE82A43ECE2BE92300F01BBB6575131E;DEPTO DE PARASITOLOGIA, MICROBIOLOGIA E IMUNOLOGIA;DB1E242B79C69BDA65CB30573F092AE7;A;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;EE82A43ECE2BE92300F01BBB6575131E;DEPTO DE CLINICA MEDICA /MED;605FC9FB5979279D062BBE0BDED565B7;E;5;5;5;5;5;0;0;5;5;5;5;5;5;0;5
2019;3;DOCENTE_TURMA;E66032D945F034E05A48B1534E616C30;DEPTO DE QUIMICA /ICE;40BCD9922CB961F8D2C160D8BFADA8AD;A;3;3;4;5;5;5;4;5;5;5;5;3;5;5;5
2019;3;DOCENTE_TURMA;E66032D945F034E05A48B1534E616C30;DEPTO DE QUIMICA /ICE;67E5BA857729DB2989D010736B24B742;A;4;4;5;5;5;5;4;5;5;5;5;3;5;5;5
2019;3;DOCENTE_TURMA;E66032D945F034E05A48B1534E616C30;DEPTO DE QUIMICA /ICE;78FDE77C4F8C5580404605A620464FEC;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;AFCA79B2C4BCE10C53E9283C7A39D3F2;A;4;4;4;5;5;5;4;5;5;5;5;5;5;4;5
2019;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;170EAB2EAEC0FB614004BE2E014E8B2C;A;2;2;2;5;5;5;4;5;5;4;4;5;5;4;5
2019;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;86F78B72F72C1EEFEE1F433D5240E946;A;2;4;4;5;5;5;4;5;4;4;4;5;5;4;5
2019;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;86F78B72F72C1EEFEE1F433D5240E946;F;2;4;2;5;5;5;4;5;4;4;4;5;5;4;5
2019;3;DOCENTE_TURMA;01F1FF1B76AFA9A864E428A2DD9C23DD;DEPTO DE QUIMICA /ICE;86F78B72F72C1EEFEE1F433D5240E946;O;2;2;2;5;5;5;4;5;4;4;5;5;5;4;5
2019;3;DOCENTE_TURMA;721E15AC333365423C5E76518EE344AF;DEPTO DE QUIMICA /ICE;7B1AA1DDC6BC61898791DB385F81E780;A;4;3;3;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;721E15AC333365423C5E76518EE344AF;DEPTO DE QUIMICA /ICE;17928D891E7B4DB9A66300E9A2530201;A;4;4;4;5;5;5;4;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;721E15AC333365423C5E76518EE344AF;DEPTO DE QUIMICA /ICE;17928D891E7B4DB9A66300E9A2530201;B;4;4;4;5;5;5;4;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;CDE36C6B51BB4F6C140E84CF9FBF5631;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;BACF6EEFC39CBBBC135D88BEC6293730;A;3;3;3;5;5;5;4;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;CDE36C6B51BB4F6C140E84CF9FBF5631;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;36BC3AB3A056029D6AB53478FAA6FAE2;A;5;4;4;5;5;5;4;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;D59286A9668A013A05A0FBA408E068EF;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;B0AB942FBCF19576CF55A3C27981A192;A;3;4;4;5;5;4;5;5;5;5;5;4;5;4;5
2019;3;DOCENTE_TURMA;D59286A9668A013A05A0FBA408E068EF;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;6A1174F8069367C29F1B68DE2B7943FB;A;4;5;4;5;5;3;5;5;4;5;5;4;5;3;5
2019;3;DOCENTE_TURMA;D59286A9668A013A05A0FBA408E068EF;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;438811BEA4BC15699B85C9AC24C06B1C;C;4;5;4;5;5;4;5;5;4;5;5;4;5;2;5
2019;3;DOCENTE_TURMA;78FE6ECB12CB7DC9BA8BE52620ADDFBD;DEPTO DE ZOOLOGIA /ICB;807FC2ABA8742723B90FE5532CA78793;A;4;5;4;5;5;0;4;5;5;5;5;2;5;5;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;A1D0EFAB92218BF8E23245FF5ED2ABFC;DEPTO DE BOTANICA /ICB;1492D47A65945E193FD58F0E2EC65CAC;A;4;4;4;5;5;5;4;5;5;4;4;4;5;5;5
2019;3;DOCENTE_TURMA;A1D0EFAB92218BF8E23245FF5ED2ABFC;DEPTO DE ZOOLOGIA /ICB;49928D52A77624F39C4F8DCF42878A0B;A;4;4;4;5;5;4;4;5;5;4;4;4;5;5;5
2019;3;DOCENTE_TURMA;A1D0EFAB92218BF8E23245FF5ED2ABFC;DEPTO DE ZOOLOGIA /ICB;C524C4D069E611C400FEE4C3B58E8D5A;A;4;5;4;5;5;5;4;5;5;4;4;4;5;5;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;A1D0EFAB92218BF8E23245FF5ED2ABFC;DEPTO DE ZOOLOGIA /ICB;AE0C5E3A9C3BE54DCD965FA2E83D22BB;A;4;4;3;4;5;5;4;5;5;4;4;4;5;5;5
2019;3;DOCENTE_TURMA;71AC06FC60F769DFFD0289B0C23C1017;DEPTO DE FST DO IDOSO,DO ADULTO E MATERNO-INFANTIL;CF0A610EBF4F2DFEBCEEDE2F69E75684;A;5;5;5;5;5;5;5;5;5;5;5;5;4;3;5
2019;3;DOCENTE_TURMA;71AC06FC60F769DFFD0289B0C23C1017;DEPTO DE FUNDAM.MÉTODOS E RECURSOS EM FISIOTERAPIA;DB60BB85700FE13CC88C9D3598280382;A;4;4;5;5;5;4;5;5;5;5;4;3;3;5;5
2019;3;DOCENTE_TURMA;A876DA713DDC5E42CFA5B36C44E97650;DEPTO DE FST DO IDOSO,DO ADULTO E MATERNO-INFANTIL;84C6DE844D48DAFBB88CC70C227854E4;A;5;5;5;4;5;4;4;5;5;5;5;3;5;4;5
2019;3;DOCENTE_TURMA;DD119EB7C48EA8BC8B39E2B4F11EBA03;DEPTO DE FST CARDIORRESPIRATÓRIA E MÚSCULOESQUELÉTICA;E5FE7BAF7657EB2FDC1A4F7600CB8DA7;A;5;4;4;5;5;5;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;DD119EB7C48EA8BC8B39E2B4F11EBA03;DEPTO DE FST CARDIORRESPIRATÓRIA E MÚSCULOESQUELÉTICA;838AD7293ED86DC1D40202495C52F72A;A;5;4;4;5;5;5;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;8390377369F3B1EF4D1618E434D57F0B;DEPTO DE FST DO IDOSO,DO ADULTO E MATERNO-INFANTIL;B4AB1F751663BE3227AC7EFC591618CA;A;5;4;4;4;4;4;4;5;5;4;4;4;5;5;5
2019;3;DOCENTE_TURMA;C6446275AF7517801A52BA03E1234B9D;DEPTO DE FST DO IDOSO,DO ADULTO E MATERNO-INFANTIL;309712B95D132ADE14E1D14D761448D6;A;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5
2019;3;DOCENTE_TURMA;C6446275AF7517801A52BA03E1234B9D;DEPTO DE FUNDAM.MÉTODOS E RECURSOS EM FISIOTERAPIA;DB60BB85700FE13CC88C9D3598280382;A;4;4;4;4;4;4;5;5;5;5;5;5;5;4;5
2019;3;DOCENTE_TURMA;C043C04710DDBDE577AFF8DF776A4B77;DEPTO DE FST CARDIORRESPIRATÓRIA E MÚSCULOESQUELÉTICA;BD275F2AA69106B85D06BD024B1BC9A5;A;4;3;5;3;5;4;4;5;5;5;5;4;5;4;5
2019;3;DOCENTE_TURMA;B751A0A68918DE7F3A0F832500CFD05B;DEPTO DE FUNDAM.MÉTODOS E RECURSOS EM FISIOTERAPIA;D3151AE099B4F725713D0F0B8A1562FB;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;B751A0A68918DE7F3A0F832500CFD05B;DEPTO DE FUNDAM.MÉTODOS E RECURSOS EM FISIOTERAPIA;D3151AE099B4F725713D0F0B8A1562FB;B;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;B751A0A68918DE7F3A0F832500CFD05B;DEPTO DE FUNDAM.MÉTODOS E RECURSOS EM FISIOTERAPIA;1A74A6A7179374F5B8C8EF24F2D2B66D;A;4;4;4;5;4;5;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;B221B9164D6D59C62D524467A21AE833;DEPTO DE FUNDAM.MÉTODOS E RECURSOS EM FISIOTERAPIA;1D7C59BE6A29F34B53D849282FD3C956;A;3;3;3;5;5;4;4;5;5;5;4;5;5;4;4
2019;3;DOCENTE_TURMA;E61B8ABB423FDCCEC764FF754AE31356;DEPTO DE GEOCIENCIAS /ICH;9AA56CFE6E603FBC9E4FFD16A5B6C852;A;3;3;4;5;5;5;4;5;5;5;5;4;5;1;5
2019;3;DOCENTE_TURMA;E61B8ABB423FDCCEC764FF754AE31356;DEPTO DE GEOCIENCIAS /ICH;9AA56CFE6E603FBC9E4FFD16A5B6C852;B;4;3;4;5;5;5;4;5;5;5;5;4;5;1;5
2019;3;DOCENTE_TURMA;E61B8ABB423FDCCEC764FF754AE31356;DEPTO DE GEOCIENCIAS /ICH;3DFA9D1870238DFA76E1D704656FCAEA;A;3;3;4;5;5;5;4;5;5;5;5;4;5;1;5
2019;3;DOCENTE_TURMA;E61B8ABB423FDCCEC764FF754AE31356;DEPTO DE GEOCIENCIAS /ICH;3DFA9D1870238DFA76E1D704656FCAEA;B;4;3;4;5;5;5;4;5;5;5;5;4;5;1;5
2019;3;DOCENTE_TURMA;E61B8ABB423FDCCEC764FF754AE31356;DEPTO DE GEOCIENCIAS /ICH;98E75A3B6A34BF9E9F727676AC0247C1;A;5;5;5;5;5;5;5;5;5;5;5;4;5;1;5
2019;3;DOCENTE_TURMA;EB83EAB89B3A9A12BA1FEE13CF2F2DDD;DEPTO DE HISTORIA /ICH;3860231C8B1C41F453AF845CB73B5F90;A;5;4;4;5;5;5;5;5;5;5;4;5;5;5;5
2019;3;DOCENTE_TURMA;EB83EAB89B3A9A12BA1FEE13CF2F2DDD;DEPTO DE HISTORIA /ICH;F174211F10859E3A20E00AF09568591F;A;4;4;4;5;5;5;5;5;5;5;4;5;5;5;5
2019;3;DOCENTE_TURMA;3AF12A962F180B11AC763B1A3B7ED561;DEPTO DE HISTORIA /ICH;21FED5A9E6D49B3D9D954071FEBD9591;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;3AF12A962F180B11AC763B1A3B7ED561;DEPTO DE HISTORIA /ICH;9190DB76BAABE65C6207518E1D600C7A;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;3AF12A962F180B11AC763B1A3B7ED561;DEPTO DE HISTORIA /ICH;CB1DB27483020CE552A642C58820DB89;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;B9B552C0164287CE3C7C2009BD6B2920;DEPTO DE HISTORIA /ICH;F09F772400F8722B508F0F35A860BAE9;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;B9B552C0164287CE3C7C2009BD6B2920;DEPTO DE HISTORIA /ICH;24D91941776137A3E75691ADF58FCB34;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;13F07616FDE0D4BE9D245D12BD85F4FA;DEPARTAMENTO DE ENGENHARIA SANITARIA AMBIENTAL;F4F3FC0445E0A78582B86535D549D8D5;A;3;3;0;5;5;5;5;4;5;5;5;0;5;5;5
2019;3;DOCENTE_TURMA;13F07616FDE0D4BE9D245D12BD85F4FA;DEPARTAMENTO DE ENGENHARIA SANITARIA AMBIENTAL;86073B04BB267E72450D61F00C59D34D;A;4;3;3;5;5;5;5;4;5;5;5;0;5;5;5
2019;3;DOCENTE_TURMA;F9FBBB58CEA1D7FE7B2D1849D9F9CBCA;DEPARTAMENTO DE ENGENHARIA SANITARIA AMBIENTAL;A53DDF6BD1ADCB9C0232D9272981510D;A;4;4;4;5;5;5;4;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;F9FBBB58CEA1D7FE7B2D1849D9F9CBCA;DEPARTAMENTO DE ENGENHARIA SANITARIA AMBIENTAL;7875D13FF3BF9EBA4B4EC34294A92986;A;5;4;4;5;5;5;4;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;2CE503518F664627B5CD920491CFD1BD;DEPTO DE LETRAS;A258D2A7787AF7E4F50A32D3CD12F1C8;C;4;3;4;5;4;5;4;5;5;4;5;4;5;5;5
2019;3;DOCENTE_TURMA;2CE503518F664627B5CD920491CFD1BD;DEPTO DE LETRAS;E422D12481EA53D131A64126757936DF;A;4;4;5;5;4;5;4;4;5;4;5;5;5;5;5
2019;3;DOCENTE_TURMA;A6701277EF21DE2636B70D0237B033B4;DEPTO DE LETRAS;E07319F03628CC226501BC061B40A196;A;4;3;3;5;5;4;5;5;4;5;4;5;3;4;5
2019;3;DOCENTE_TURMA;A6701277EF21DE2636B70D0237B033B4;DEPTO DE LETRAS;1C3EA6FD85B0CDBD9A40C0E58BCEB2E3;A;4;5;4;5;5;5;5;5;5;3;3;5;3;4;5
2019;3;DOCENTE_TURMA;AFF1D870F65DFF18195E3C6BFDBE7BF1;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;7FF32321A71902E08D74123E4460E77E;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;9F3099C638A0210E3A09275ED987D78B;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;9E3CA572688F33881DE3AEF6CA0D61D1;A;5;4;5;5;5;5;5;5;5;5;5;5;;5;5
2019;3;DOCENTE_TURMA;9F3099C638A0210E3A09275ED987D78B;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;63BD89D840CF0EAE5BAAA4E230766D48;A;5;5;5;5;5;5;5;5;5;5;5;5;;5;5
2019;3;DOCENTE_TURMA;DC40A217BD091F9A20DDAFC5CC2F4BDA;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;BD74BC380A3208E8DB68D8A9FCD4A553;A;5;5;5;5;5;5;4;5;5;5;5;;5;5;5
2019;3;DOCENTE_TURMA;DC40A217BD091F9A20DDAFC5CC2F4BDA;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;37C13B2F6B0D8E33094F5C8A95516D9A;A;5;5;5;5;5;5;4;5;5;5;5;;5;5;5
2019;3;DOCENTE_TURMA;DC40A217BD091F9A20DDAFC5CC2F4BDA;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;3C67BD610DCE1A32957D619713042D25;A;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;7272AC510F13314FB9510C36A6E652D9;DEPTO MATERNO INFANTIL /MED;AACE7A8E3FB189F18E5C48578671BEC6;A;5;5;5;5;5;5;5;5;5;5;5;0;4;0;5
2019;3;DOCENTE_TURMA;7272AC510F13314FB9510C36A6E652D9;DEPTO MATERNO INFANTIL /MED;AACE7A8E3FB189F18E5C48578671BEC6;C;5;5;5;5;5;5;0;5;5;5;5;5;4;0;5
2019;3;DOCENTE_TURMA;7272AC510F13314FB9510C36A6E652D9;DEPTO DE CLINICA MEDICA /MED;73773880DCDBA50612EAA9460169AAFE;F;5;5;5;5;5;5;0;5;5;5;5;5;4;0;5
2019;3;DOCENTE_TURMA;7272AC510F13314FB9510C36A6E652D9;DEPTO DE CLINICA MEDICA /MED;73773880DCDBA50612EAA9460169AAFE;H;5;5;5;5;5;5;0;5;5;5;5;5;4;0;5
2019;3;DOCENTE_TURMA;7272AC510F13314FB9510C36A6E652D9;DEPTO DE CLINICA MEDICA /MED;2FFADE175C7491267BAB63921826D825;A;5;5;5;5;5;5;0;5;5;5;5;5;4;0;5
2019;3;DOCENTE_TURMA;7272AC510F13314FB9510C36A6E652D9;DEPTO DE CLINICA MEDICA /MED;605FC9FB5979279D062BBE0BDED565B7;G;5;5;5;5;5;5;0;5;5;5;5;5;4;0;5
2019;3;DOCENTE_TURMA;7272AC510F13314FB9510C36A6E652D9;DEPTO DE CLINICA MEDICA /MED;8E3408A27A1E58389745DA45F0D2B3E0;F;5;5;5;5;5;5;0;5;5;5;5;5;4;0;5
2019;3;DOCENTE_TURMA;97C47914C264D47486D5AAEC350794C7;DEPTO DE MATEMATICA /ICE;B0E0FE6D8107999EAE9E9A11962617C0;A;4;3;4;5;5;4;4;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;82FCC7EC9B957F121F9273CB5AFC9710;DEPTO DE MATEMATICA /ICE;7F639DC9974F689E14E42D1A96429E32;B;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;82FCC7EC9B957F121F9273CB5AFC9710;DEPTO DE MATEMATICA /ICE;66EB3DEDADA91F3A93D8137F40DCEB6D;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;55F58F73F29CBE5298D7A717ADD8FF2B;DEPTO DE MATEMATICA /ICE;BAFD084BD32F71A9C45CB8E3510DA2FE;A;2;2;2;5;5;4;5;5;5;3;3;2;5;5;5
2019;3;DOCENTE_TURMA;55F58F73F29CBE5298D7A717ADD8FF2B;DEPTO DE MATEMATICA /ICE;F7F7A4B1C4F44F44889D4A36F1BE5782;A;4;2;4;5;5;5;0;5;5;4;4;5;5;2;5
2019;3;DOCENTE_TURMA;55E1D2C7D36ED9F2687870489CC2D437;DEPTO DE MATEMATICA /ICE;52E31FC3813B45C644F44CC75FC013E2;A;4;2;4;5;5;5;4;5;5;4;4;4;5;4;5
2019;3;DOCENTE_TURMA;55E1D2C7D36ED9F2687870489CC2D437;DEPTO DE MATEMATICA /ICE;96B85332AF16595A3674DB1559F23E88;A;5;5;5;5;5;5;4;5;5;5;5;4;5;4;5
2019;3;DOCENTE_TURMA;ACD6EBE291F3EAF6C2900894D17F61FE;DEPTO DE ARTES /IAD;C787AD9DF1C0F3BE3BE32F4FC9CBC5E1;A;2;3;3;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;ACD6EBE291F3EAF6C2900894D17F61FE;DEPTO DE ARTES /IAD;C787AD9DF1C0F3BE3BE32F4FC9CBC5E1;B;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;A93EEAA6D583861090B3EDFE35C8653F;DEPTO DE DIREITO PUBLICO MATERIAL /DIR;06FFE405223F7C92B7080F81F4C7816D;A;4;4;3;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;A93EEAA6D583861090B3EDFE35C8653F;DEPTO DE DIREITO PUBLICO MATERIAL /DIR;06FFE405223F7C92B7080F81F4C7816D;N;4;4;3;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;E7FEAF2818A5E1E6885FD392592E3E66;DEPTO DE DIREITO PUBLICO MATERIAL /DIR;CB26BA7776EDA4060B9FBCCD5E20848A;M;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;E7FEAF2818A5E1E6885FD392592E3E66;DEPTO DE DIREITO PUBLICO MATERIAL /DIR;CB26BA7776EDA4060B9FBCCD5E20848A;N;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;E38C2E60EAD13AE145D293B3CD122917;DEPTO DE DIREITO PRIVADO /DIR;7B84A60D8805EA1A01B293E996E19531;N;4;5;3;5;5;5;5;5;5;5;5;5;5;0;5
2019;3;DOCENTE_TURMA;E38C2E60EAD13AE145D293B3CD122917;DEPTO DE DIREITO PRIVADO /DIR;7B84A60D8805EA1A01B293E996E19531;M;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5
2019;3;DOCENTE_TURMA;E38C2E60EAD13AE145D293B3CD122917;DEPTO DE DIREITO PRIVADO /DIR;8BDB3BF05DAD5ECA93DA4B330DB85FA6;F;3;5;5;5;5;5;5;5;5;5;5;5;5;0;5
2019;3;DOCENTE_TURMA;0D2AA0EA0C64E2BF39A29BBA1AD976D7;DEPTO DE ENFERMAGEM APLICADA /ENF;A36817954CEE90BC5D6D7B07E8DE6E14;A;5;5;5;5;5;5;4;5;5;5;5;5;;5;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;0D2AA0EA0C64E2BF39A29BBA1AD976D7;DEPTO DE ENFERMAGEM APLICADA /ENF;FAF10294A406EC40CAB89EA8AF4E0F30;A;4;4;4;5;5;5;4;5;5;5;5;5;;4;5
2019;3;DOCENTE_TURMA;D906D272383D788EA3E32FFEA9CDA5D6;DEPTO DE ENFERMAGEM BASICA /ENF;1B341FC0DB15AE22724E40FAC7B998ED;A;4;5;5;5;5;4;4;5;5;5;5;5;4;4;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;D906D272383D788EA3E32FFEA9CDA5D6;DEPTO DE ENFERMAGEM BASICA /ENF;BB01E87B9492F1FE3B751B94EF648445;A;4;4;5;5;5;4;4;5;5;5;5;4;4;5;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE ECONOMIA /ECO;2398B0FE3D60B55D6A7259329B2F757E;A;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;7A37B360603BDF1752BAB96683E8A79E;DEPTO DE ECONOMIA /ECO;2398B0FE3D60B55D6A7259329B2F757E;B;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;988B7C42E794068F53FEA492BEDF5651;DEPTO DE ECONOMIA /ECO;2A9421F264CD9F9D2D85781E0A255CAD;B;3;3;3;5;5;3;5;5;4;5;5;5;4;5;5
2019;3;DOCENTE_TURMA;0B4DA882B6D8CB8084093E7AF1FA2D9E;DEPTO ENF MAT INFANTIL SAUDE PUBLIC /ENF;AD671820E3514C61CA90482A062CF7C7;A;4;4;5;5;5;4;4;5;5;5;5;4;3;3;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;993446AC5D504052D65834D20316FCDB;DEPTO ENF MAT INFANTIL SAUDE PUBLIC /ENF;AD671820E3514C61CA90482A062CF7C7;A;4;3;4;5;5;4;4;5;5;4;4;3;2;5;4
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;86FC23F2F0F7C93B5B3AE797625A1F4B;DEPTO ENF MAT INFANTIL SAUDE PUBLIC /ENF;AD671820E3514C61CA90482A062CF7C7;A;5;5;;5;5;5;5;5;5;5;5;5;5;5;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;435F76011F5DB8F8FC06C71EA01C4EAF;DEPTO DE CIRCUITOS ELETRICOS /ENG;2F421D9C9945579673B21F1F4B966711;A;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5
2019;3;DOCENTE_TURMA;435F76011F5DB8F8FC06C71EA01C4EAF;DEPTO DE ENERGIA ELETRICA /ENG;D454C922D2305CBA177C9D33FC85711B;A;5;4;5;5;5;5;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;7619D88D2D17F4434C1E6A3C748ED2D9;DEPTO DE ENGENHARIA DE PRODUÇÃO E MECÂNICA;BF2C7D16C4E6FC2D1718F652227CA875;A;3;5;2;5;5;5;2;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;7619D88D2D17F4434C1E6A3C748ED2D9;DEPTO DE ENGENHARIA DE PRODUÇÃO E MECÂNICA;74B01E061AEE306432CC822B2D4D7EDE;A;1;0;1;5;5;5;2;5;5;5;5;0;5;5;5
2019;3;DOCENTE_TURMA;7619D88D2D17F4434C1E6A3C748ED2D9;DEPTO DE ENGENHARIA DE PRODUÇÃO E MECÂNICA;2095711ADEE8013A805E7549E6A74F6A;A;1;0;1;5;5;5;2;5;5;5;5;0;5;5;5
2019;3;DOCENTE_TURMA;7619D88D2D17F4434C1E6A3C748ED2D9;DEPTO DE ENGENHARIA DE PRODUÇÃO E MECÂNICA;74B01E061AEE306432CC822B2D4D7EDE;AA;0;0;0;5;5;5;0;5;5;5;5;0;5;5;5
