Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;A turma se mostrou motivada para estudar a disciplina.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;A turma se empenhou em acompanhar as atividades da disciplina.;Você apresentou plano de ensino contendo: ementa, objetivos, metodologias de ensino, critérios de avaliação, conteúdos e bibliografia da disciplina.;Os conteúdos trabalhados na disciplina foram coerentes com os que foram apresentados no plano de ensino.;Você deu retorno sobre todas as avaliações realizadas: correções, discussão dos pontos principais, esclarecimentos sobre os erros cometidos.;Os recursos didáticos, audiovisuais, tecnológicos empregados pelo(a) docente contribuíram para que a aula fosse mais produtiva.;Você cumpriu a carga horária prevista no semestre para a disciplina.;O grau de dificuldade das avaliações foi compatível com as aulas ministradas.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de formação teórica/prática na área. ;A disciplina contribuiu para a aquisição de cultura geral.;Você dispôs de horário de atendimento extra-classe.; As notas de todas as avaliações parciais foram divulgadas no SIGA até 3 (três) dias antes da data da avaliação subsequente, conforme determina o RAG. ;Você manteve um comportamento respeitoso e cortês em relação aos discentes.
2019;3;DOCENTE_TURMA;3AEA1D763FD78DE49FA8F28F813A4783;DEP ODONTOLOGIA - CAMPUS GOVERNADOR VALADARES;09A44A59F753469806369DBA1C391686;A;3;3;3;5;5;4;4;5;5;5;3;3;4;5;5
2019;3;DOCENTE_TURMA;1E23784766A398CC03ACB91EA66864DA;DEP Farmacia - Campus Governador Valadares;D7A96C1B7B25645E89EBA3CBA349F34A;A;4;3;3;5;5;4;5;5;4;5;5;5;4;5;5
2019;3;DOCENTE_TURMA;C8CD7E2833B1A0DBE9F4A2780A73EDC7;DEPTO DE BIOLOGIA /ICB;33B721FF76F494CF1B91CD7B96224D75;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;C8CD7E2833B1A0DBE9F4A2780A73EDC7;DEPTO DE BIOLOGIA /ICB;8FACB8FB8D3E888AE089D7FE45F0BD04;A;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;7704086C3A3C7DADF0E1AD0F7D567833;DEP MEDICINA - CAMPUS GOVERNADOR VALADARES;6A09D268FA773F0FD490054E0B42A37D;A;4;4;4;5;5;4;5;5;5;5;5;4;4;4;5
2019;3;DOCENTE_TURMA;1868FC00CA2EF09CAE2645D0C904B88F;DEP MEDICINA - CAMPUS GOVERNADOR VALADARES;598CDD8084284058FF6C5630C6D72654;A;4;4;4;5;5;5;4;4;5;5;5;5;4;5;5
2019;3;DOCENTE_TURMA;1868FC00CA2EF09CAE2645D0C904B88F;DEP MEDICINA - CAMPUS GOVERNADOR VALADARES;E3274EA455CDC142D42F118D6F43604F;A;4;4;4;5;5;5;4;4;5;5;5;5;4;5;5
2019;3;DOCENTE_TURMA;1868FC00CA2EF09CAE2645D0C904B88F;DEP MEDICINA - CAMPUS GOVERNADOR VALADARES;E3274EA455CDC142D42F118D6F43604F;B;4;4;4;5;5;5;4;4;5;5;5;5;4;5;5
2019;3;DOCENTE_TURMA;1C135A3CC72AE312237D898B7A7665EE;DEP MEDICINA - CAMPUS GOVERNADOR VALADARES;2A0FE38422EC2BAAC2B5A85AB4AF316F;B;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5
2019;3;DOCENTE_TURMA;1C135A3CC72AE312237D898B7A7665EE;DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA;9579F23D078BF8429DB1F7D319199E22;A;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;1C135A3CC72AE312237D898B7A7665EE;DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA;87FBA8CA1FF9D8830BF731D9B8B43216;B;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;1C135A3CC72AE312237D898B7A7665EE;DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA;87FBA8CA1FF9D8830BF731D9B8B43216;A;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;1C135A3CC72AE312237D898B7A7665EE;DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA;C9274314A9AE6C7EE3CEA198C2982E8F;A;2;3;4;5;5;5;5;5;5;5;5;5;5;4;5
2019;3;DOCENTE_TURMA;72138D3E631F83DD9B5190EF7EDDAC4C;DEP ODONTOLOGIA - CAMPUS GOVERNADOR VALADARES;83DFDD15F73B15833A1096502D743DA7;A;5;4;3;5;5;5;5;5;5;5;5;4;5;5;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;72138D3E631F83DD9B5190EF7EDDAC4C;DEP ODONTOLOGIA - CAMPUS GOVERNADOR VALADARES;E61D5F37CDE9110237BED2E4A934F343;B;5;4;3;5;5;5;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;72138D3E631F83DD9B5190EF7EDDAC4C;DEP ODONTOLOGIA - CAMPUS GOVERNADOR VALADARES;3C8CA3C1DD5C6F4D886ECF79B87A9257;A;5;4;3;5;5;5;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;287ABB9B7FB5B2C2C8DA3B9C2C892D90;DEPARTAMENTO DE EDUCAÇÃO;8DFB4F80509B6FA0254EA6D3D75BF69B;B;3;3;2;5;5;4;4;5;5;5;5;5;3;4;5
2019;3;DOCENTE_TURMA;287ABB9B7FB5B2C2C8DA3B9C2C892D90;DEPARTAMENTO DE EDUCAÇÃO;47DBB25322D4F94FDCBA7D355EC5257E;A;5;4;4;5;5;4;4;5;5;5;5;4;3;0;5
2019;3;DOCENTE_TURMA;287ABB9B7FB5B2C2C8DA3B9C2C892D90;DEPARTAMENTO DE EDUCAÇÃO;5B79CD609BBA180407B4F91018012862;A;4;4;2;5;5;4;4;5;5;5;5;5;3;4;5
2019;3;DOCENTE_TURMA;3573BEEC19CD537FCB1555F9B32643BB;DEPTO DE ENERGIA ELETRICA /ENG;7B26C89FA5FA713FCD27DD74B8BFABAA;C;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5
