Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;Cursos;A turma se mostrou motivada para estudar a disciplina.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;A turma se empenhou em acompanhar as atividades da disciplina.;Você apresentou plano de ensino contendo: ementa, objetivos, metodologias de ensino, critérios de avaliação, conteúdos e bibliografia da disciplina.;Os conteúdos trabalhados na disciplina foram coerentes com os que foram apresentados no plano de ensino.;Você deu retorno sobre todas as avaliações realizadas: correções, discussão dos pontos principais, esclarecimentos sobre os erros cometidos.;Os recursos didáticos, audiovisuais, tecnológicos empregados pelo(a) docente contribuíram para que a aula fosse mais produtiva.;Você cumpriu a carga horária prevista no semestre para a disciplina.;O grau de dificuldade das avaliações foi compatível com as aulas ministradas.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de formação teórica/prática na área. ;A disciplina contribuiu para a aquisição de cultura geral.;Você dispôs de horário de atendimento extra-classe.; As notas de todas as avaliações parciais foram divulgadas no SIGA até 3 (três) dias antes da data da avaliação subsequente, conforme determina o RAG. ;Você manteve um comportamento respeitoso e cortês em relação aos(às) discentes.
2018;3;DOCENTE_TURMA;36B9FB07CCABECCEBD6987D0530FDDDA;DEP Economia - Campus Governador Valadares;40B8AB9B7B0088855CED062AB1DAF52B;A;01GV|03GV;4;4;4;5;5;5;5;5;5;5;5;4;5;5;5
2018;3;DOCENTE_TURMA;36B9FB07CCABECCEBD6987D0530FDDDA;DEP Economia - Campus Governador Valadares;A0B274A4166DBD1CA46B89076E7F0E4C;A;01GV|02GV|03GV;4;4;4;5;5;5;5;5;5;5;5;4;5;5;5
2018;3;DOCENTE_TURMA;36B9FB07CCABECCEBD6987D0530FDDDA;DEP Economia - Campus Governador Valadares;4C6A1FD3BFCEC4C7934C03C451EA2101;A;01GV|02GV;4;4;4;5;5;5;5;5;5;5;5;4;5;5;5
2018;3;DOCENTE_TURMA;36B9FB07CCABECCEBD6987D0530FDDDA;DEP Economia - Campus Governador Valadares;5065AA6D68EE541D99BA13274213E6A9;A;01GV|02GV;4;4;4;5;5;5;5;5;5;5;5;4;5;5;5
2018;3;DOCENTE_TURMA;48CA5F1646E06B0634F4F4ECE7290364;DEP Economia - Campus Governador Valadares;97A87637CE02C7B884093F9CA9DD2EE7;A;03GV;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;48CA5F1646E06B0634F4F4ECE7290364;DEP Economia - Campus Governador Valadares;1BB3266095DDFD1AC5E54B94F391EB59;A;03GV;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;48CA5F1646E06B0634F4F4ECE7290364;DEP Economia - Campus Governador Valadares;B53F8ACEBDC84AE8DAB021457E945D3F;A;03GV;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;C15AEB194A5ADD17AACC7227CB4A6A0F;DEP EDUCAÇÃO FÍSICA - CAMPUS GOVERNADOR VALADARES;C1C04F27F57C417494E3434FF866802A;A;CDARA|06GV|10GV;4;3;4;5;5;4;4;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;C15AEB194A5ADD17AACC7227CB4A6A0F;DEP MEDICINA - CAMPUS GOVERNADOR VALADARES;13F4E83C1DD93929A0A28DCA042016A1;A;05GV|06GV|07GV|08GV|09GV|10GV;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;344C34BF09D44138225CF2F97E998BD2;DEPTO DE CLINICA MEDICA /MED;C222E27D4EA12E2B126E4008F883B752;A;15A|15B;4;5;4;5;5;5;5;5;4;5;5;3;4;5;5
